NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
CITY,-2.5100000000,9.669766651,0.103415112,0.115343358,-0.014135535,-0.015765975,-0.449228226
CLAY,-33.2251645664,1.134927073,0.881113883,7.411411043,-0.073916523,-0.621742261,-5.492118586
CLEO,11.0000000000,3.684584869,0.271400995,0.372497071,0.100840979,0.138403948,0.170119415
CLPI,84.0600000000,3.480055864,0.287351709,0.403216724,0.037587581,0.052743523,0.041543638
CMNP,90.0000000000,3.439112239,0.290772714,0.409985233,0.032702528,0.046110082,0.250225167
CMNT,0.0000380000,0.258030724,3.875507483,3.407399692,0.100456927,0.088323117,0.064449928
CMRY,89.7800000000,2.508301609,0.398676139,0.66299737,0.386128152,0.642130101,0.223917528
CNKO,-8.4500000000,0.492410317,2.03082666,-1.970095205,-0.064388974,0.062463435,-0.107268954
CNTX,-286.5000000000,0.760844539,1.314328944,-4.181380581,-0.115695766,0.368072262,-0.192804432
COCO,7.6500000000,1.667346566,0.599755336,1.498471784,0.014751048,0.036855077,0.027194685
CPIN,163.0000000000,3.288901093,0.304052926,0.436890874,0.077027852,0.110680617,0.071158481
CSAP,31.0000000000,1.34594432,0.742972785,2.890638585,0.017267343,0.067180989,0.014751097
CSIS,8.2600000000,2.131117484,0.469237387,0.884081463,0.020553497,0.038724464,0.189830336
CSMI,-22.9800000000,1.113424033,0.898130425,8.81647369,-0.164310856,-1.612953195,-0.4095752
CSRA,87.0000000000,1.857138118,0.538462913,1.166673118,0.109842691,0.237993205,0.273701993
CTBN,-78.6885000000,4.360348526,0.229339465,0.297588179,-0.036233839,-0.047016601,-0.071687583
CTRA,55.0000000000,1.865180901,0.536141025,1.155827641,0.031666935,0.068268454,0.190771236
CTTH,-17.0000000000,1.438038437,0.695391705,2.282904687,-0.030551094,-0.10029633,-0.330410031
DADA,0.3700000000,1.972148514,0.507061204,1.028649415,0.003770326,0.00764867,0.045022066
DART,-96.0000000000,1.638367033,0.610363844,1.566496935,-0.04522483,-0.116069389,-1.395757196
DAYA,-15.3400000000,1.149033341,0.870296766,6.709907967,-0.058004992,-0.447213151,-0.052492055
DCII,72.0000000000,1.575682168,0.634645755,1.737069611,0.060401697,0.165323648,0.28394242
DEWA,1144.5600000000,1.898617252,0.526699101,1.112820834,0.002998226,0.006334714,0.007284454
DFAM,-6.0950000000,1.294591042,0.772444708,3.394536344,-0.071612681,-0.314704529,-0.3698342
DGIK,0.2800000000,2.855781325,0.350166867,0.538856592,0.001539573,0.002369182,0.006590901
